Date_Time,ACTIVE_POWER,APPARENT_POWER,AVERAGE_VOLTAGE,B_PHASE_CURRENT_THD,B_PHASE_LINE_CURRENT,B_PHASE_VOLTAGE_THD,BR_VOLTAGE,FREQUENCY,NEUTRAL_LINE_CURRENT,POWER_FACTOR,R_PHASE_CURRENT_THD,R_PHASE_LINE_CURRENT,R_PHASE_VOLTAGE_THD,REACTIVE_POWER,RY_VOLTAGE,TOTAL_EXPORT_KVAh,TOTAL_EXPORT_KVArh,TOTAL_EXPORT_KWh,TOTAL_IMPORT_KVAh,TOTAL_IMPORT_KVArh,TOTAL_IMPORT_KWh,Y_PHASE_CURRENT_THD,Y_PHASE_LINE_CURRENT,Y_PHASE_VOLTAGE_THD,YB_VOLTAGE
Wed Jan 15 2025 05:44:40 GMT+0530 (India Standard Time),-16.459999084472656,49.459999084472656,11121.373046875,0,2.1635000705718994,0.44999998807907104,10716.2880859375,49.944000244140625,0.11110000312328339,0.3319999873638153,0,3.382699966430664,2.869999885559082,-34.93000030517578,11102.0869140625,87549.984375,504875.59375,30829.66015625,8207986,3004.2978515625,8194172.5,0,2.494800090789795,0.5699999928474426,10716.2880859375
Wed Jan 15 2025 05:48:40 GMT+0530 (India Standard Time),-16.329999923706055,49.38999938964844,11113.7119140625,0,2.1535000801086426,0.4300000071525574,10713.3232421875,49.94599914550781,0.08259999752044678,0.33000001311302185,0,3.3922998905181885,2.819999933242798,-34.880001068115234,11122.197265625,87553.2578125,504878.65625,30830.74609375,8207986,3004.2978515625,8194172.5,0,2.474600076675415,0.41999998688697815,10713.3232421875
Wed Jan 15 2025 05:49:41 GMT+0530 (India Standard Time),-16.579999923706055,49.380001068115234,11116.44921875,0,2.16510009765625,0.5299999713897705,10717.171875,49.99599838256836,0.12309999763965607,0.33500000834465027,0,3.388700008392334,2.8299999237060547,-34.790000915527344,11152.3525390625,87554.1171875,504879.5,30831.03125,8207986,3004.2978515625,8194172.5,0,2.453200101852417,0.6499999761581421,10717.171875
Wed Jan 15 2025 05:51:40 GMT+0530 (India Standard Time),-16.489999771118164,49.349998474121094,11114.51171875,0,2.1600000858306885,0.47999998927116394,10715.3564453125,49.95899963378906,0.06400000303983688,0.33399999141693115,0,3.3650999069213867,2.8499999046325684,-35.04999923706055,11124.9921875,87555.75,504881.0625,30831.576171875,8207986,3004.2978515625,8194172.5,0,2.4832000732421875,0.6600000262260437,10715.3564453125
Wed Jan 15 2025 05:52:39 GMT+0530 (India Standard Time),-16.459999084472656,49.52000045776367,11104.7236328125,0,2.1747000217437744,0.5799999833106995,10720.662109375,49.939998626708984,0.061400000005960464,0.3319999873638153,0,3.378000020980835,2.890000104904175,-34.97999954223633,11092.552734375,87556.5703125,504881.78125,30831.84765625,8207986,3004.2978515625,8194172.5,0,2.493299961090088,0.8100000023841858,10720.662109375
Wed Jan 15 2025 05:54:39 GMT+0530 (India Standard Time),-16.479999542236328,50.099998474121094,11138.306640625,0,2.176300048828125,0.47999998927116394,10732.857421875,49.97800064086914,0.0640999972820282,0.32899999618530273,0,3.4291000366210938,2.819999933242798,-35.25,11140.873046875,87558.21875,504883.34375,30832.39453125,8207986,3004.2978515625,8194172.5,0,2.51200008392334,0.5600000023841858,10732.857421875
Wed Jan 15 2025 05:58:40 GMT+0530 (India Standard Time),-16.520000457763672,50.11000061035156,11141.576171875,0,2.1717000007629395,0.5099999904632568,10731.02734375,49.952999114990234,0.04360000044107437,0.32899999618530273,0,3.4439001083374023,2.799999952316284,-35.47999954223633,11116.82421875,87561.5703125,504886.53125,30833.490234375,8207986,3004.2978515625,8194172.5,0,2.5306999683380127,0.550000011920929,10731.02734375
Wed Jan 15 2025 06:04:40 GMT+0530 (India Standard Time),-16.260000228881836,49.7400016784668,11112.6962890625,0,2.169600009918213,0.6000000238418579,10719.1689453125,49.92100143432617,0.07169999927282333,0.32600000500679016,0,3.426300048828125,2.869999885559082,-35.06999969482422,11080.740234375,87566.4921875,504891.15625,30835.1328125,8207986,3004.2978515625,8194172.5,0,2.4969000816345215,0.9300000071525574,10719.1689453125
Wed Jan 15 2025 06:07:39 GMT+0530 (India Standard Time),-16.68000030517578,50.150001525878906,11130.2431640625,0,2.1796000003814697,0.49000000953674316,10722.775390625,49.933998107910156,0.07000000029802322,0.3319999873638153,0,3.439300060272217,2.819999933242798,-35.439998626708984,11127.0810546875,87569.015625,504893.5625,30835.94921875,8207986,3004.2978515625,8194172.5,0,2.5188000202178955,0.6499999761581421,10722.775390625
Wed Jan 15 2025 06:08:41 GMT+0530 (India Standard Time),-16.450000762939453,49.84000015258789,11129.6572265625,0,2.1805999279022217,0.5299999713897705,10719.6171875,49.917999267578125,0.12540000677108765,0.33000001311302185,0,3.4021999835968018,2.890000104904175,-35.5099983215332,11101.9912109375,87569.8515625,504894.34375,30836.236328125,8207986,3004.2978515625,8194172.5,0,2.521399974822998,0.8299999833106995,10719.6171875
Wed Jan 15 2025 06:09:40 GMT+0530 (India Standard Time),-16.559999465942383,50.09000015258789,11140.0751953125,0,2.1898999214172363,0.46000000834465027,10728.7529296875,49.935001373291016,0.11999999731779099,0.33000001311302185,0,3.421299934387207,2.8399999141693115,-35.38999938964844,11129.20703125,87570.671875,504895.125,30836.51171875,8207986,3004.2978515625,8194172.5,0,2.519200086593628,0.5600000023841858,10728.7529296875
Wed Jan 15 2025 06:12:41 GMT+0530 (India Standard Time),-16.440000534057617,49.720001220703125,11118.044921875,0,2.183799982070923,0.5299999713897705,10724.2421875,49.93000030517578,0.11840000003576279,0.33000001311302185,0,3.402100086212158,2.9000000953674316,-35.290000915527344,11093.08984375,87573.171875,504897.46875,30837.3203125,8207986,3004.2978515625,8194172.5,0,2.509700059890747,0.7699999809265137,10724.2421875
Wed Jan 15 2025 06:14:40 GMT+0530 (India Standard Time),-16.200000762939453,49.880001068115234,11120.90234375,0,2.1975998878479004,0.5600000023841858,10736.6083984375,49.94300079345703,0.11079999804496765,0.3240000009536743,0,3.4231998920440674,2.8499999046325684,-35.5099983215332,11098.904296875,87574.8671875,504899.0625,30837.869140625,8207986,3004.2978515625,8194172.5,0,2.490799903869629,0.8700000047683716,10736.6083984375
Wed Jan 15 2025 06:15:40 GMT+0530 (India Standard Time),-16.450000762939453,49.66999816894531,11125.501953125,0,2.1953999996185303,0.5699999928474426,10740.5498046875,49.96500015258789,0.16699999570846558,0.3310000002384186,0,3.38100004196167,2.890000104904175,-35.400001525878906,11127.8427734375,87575.6953125,504899.84375,30838.15234375,8207986,3004.2978515625,8194172.5,0,2.4914000034332275,0.8500000238418579,10740.5498046875
Wed Jan 15 2025 06:17:41 GMT+0530 (India Standard Time),-16.489999771118164,50.279998779296875,11132.787109375,0,2.1981000900268555,0.6100000143051147,10743.3359375,49.9370002746582,0.07169999927282333,0.328000009059906,0,3.4309000968933105,2.930000066757202,-35.63999938964844,11122.013671875,87577.359375,504901.40625,30838.69921875,8207986,3004.2978515625,8194172.5,0,2.529599905014038,0.9599999785423279,10743.3359375
Wed Jan 15 2025 06:21:40 GMT+0530 (India Standard Time),-16.260000228881836,49.47999954223633,11127.46875,0,2.1709001064300537,0.5099999904632568,10734.6142578125,49.9370002746582,0.10260000079870224,0.328000009059906,0,3.4242000579833984,2.8399999141693115,-34.95000076293945,11048.095703125,87580.6796875,504904.59375,30839.7890625,8207986,3004.2978515625,8194172.5,0,2.469599962234497,0.800000011920929,10734.6142578125
