Date_Time,POA1_IRR,ACTIVE_POWER
2025-01-10 04:30:41,-1,-15.430000305175781
2025-01-10 04:31:40,-1,-15.149999618530273
2025-01-10 04:32:41,-1,-15.569999694824219
2025-01-10 04:33:41,-1,-15.460000038146973
2025-01-10 04:34:40,-1,-15.319999694824219
2025-01-10 04:35:41,-1,-15.40999984741211
2025-01-10 04:36:40,-1,-15.3100004196167
2025-01-10 04:37:40,-1,-15.460000038146973
2025-01-10 04:38:41,-1,-15.289999961853027
2025-01-10 04:39:41,-1,-15.399999618530273
2025-01-10 04:40:40,-1,-15.539999961853027
2025-01-10 04:41:40,-1,-15.5
2025-01-10 04:42:41,-1,-15.430000305175781
2025-01-10 04:43:41,-1,-15.40999984741211
2025-01-10 04:44:40,-1,-15.039999961853027
2025-01-10 04:45:40,-1,-15.239999771118164
2025-01-10 04:46:41,-1,-15.199999809265137
2025-01-10 04:47:40,-1,-15.319999694824219
2025-01-10 04:48:41,-1,-15.300000190734863
2025-01-10 04:49:41,-1,-15.130000114440918
2025-01-10 04:50:41,-1,-15.34000015258789
2025-01-10 04:51:40,-1,-15.390000343322754
2025-01-10 04:52:40,-1,-15.170000076293945
2025-01-10 04:53:41,-1,-15.270000457763672
2025-01-10 04:54:41,-1,-15.5600004196167
2025-01-10 04:55:41,-1,-15.460000038146973
2025-01-10 04:56:41,-1,-15.510000228881836
2025-01-10 04:57:41,-1,-15.369999885559082
2025-01-10 04:58:41,-1,-15.220000267028809
2025-01-10 04:59:41,-1,-15.149999618530273
2025-01-10 05:00:40,-1,-15.430000305175781
2025-01-10 05:01:41,-1,-15.260000228881836
2025-01-10 05:02:40,-1,-15.420000076293945
2025-01-10 05:03:40,-1,-14.880000114440918
2025-01-10 05:04:40,-1,-15.100000381469727
2025-01-10 05:05:40,-1,-14.989999771118164
2025-01-10 05:06:40,-1,-15.029999732971191
2025-01-10 05:07:41,-1,-15.319999694824219
2025-01-10 05:08:41,-1,-15.15999984741211
2025-01-10 05:09:40,-1,-15.3100004196167
2025-01-10 05:10:41,-1,-15.34000015258789
2025-01-10 05:11:41,-1,-15.420000076293945
2025-01-10 05:12:40,-1,-15.420000076293945
2025-01-10 05:13:40,-1,-15.479999542236328
2025-01-10 05:14:41,-1,-15.3100004196167
2025-01-10 05:15:40,-1,-15.1899995803833
2025-01-10 05:16:40,-1,-15.3100004196167
2025-01-10 05:17:41,-1,-15.350000381469727
2025-01-10 05:18:39,-1,-15.449999809265137
2025-01-10 05:19:41,-1,-15.100000381469727
2025-01-10 05:20:42,-1,-15.289999961853027
2025-01-10 05:21:40,-1,-15.279999732971191
2025-01-10 05:22:40,-1,-15.34000015258789
2025-01-10 05:23:41,-1,-15.180000305175781
2025-01-10 05:24:41,-1,-15.319999694824219
2025-01-10 05:25:40,-1,-15.210000038146973
2025-01-10 05:26:39,-1,-15.09000015258789
2025-01-10 05:27:41,-1,-15.300000190734863
2025-01-10 05:28:39,-1,-15.520000457763672
2025-01-10 05:29:41,-1,-15.5
2025-01-10 05:30:41,-1,-15.279999732971191
2025-01-10 05:31:40,-1,-15.270000457763672
2025-01-10 05:32:41,-1,-15.210000038146973
2025-01-10 05:33:40,-1,-15.100000381469727
2025-01-10 05:34:41,-1,-14.9399995803833
2025-01-10 05:35:40,-1,-14.989999771118164
2025-01-10 05:36:41,-1,-15.569999694824219
2025-01-10 05:37:41,-1,-15.710000038146973
2025-01-10 05:38:39,-1,-15.789999961853027
2025-01-10 05:39:41,-1,-15.760000228881836
2025-01-10 05:40:40,-1,-15.680000305175781
2025-01-10 05:41:41,-1,-15.579999923706055
2025-01-10 05:42:41,-1,-15.720000267028809
2025-01-10 05:43:40,-1,-15.640000343322754
2025-01-10 05:44:41,-1,-15.550000190734863
2025-01-10 05:45:41,-1,-15.579999923706055
2025-01-10 05:46:41,-1,-15.720000267028809
2025-01-10 05:47:40,-1,-15.600000381469727
2025-01-10 05:48:41,-1,-15.6899995803833
2025-01-10 05:49:41,-1,-15.670000076293945
2025-01-10 05:50:40,-1,-15.670000076293945
2025-01-10 05:51:40,-1,-15.699999809265137
2025-01-10 05:52:42,-1,-15.710000038146973
2025-01-10 05:53:41,-1,-15.699999809265137
2025-01-10 05:54:41,-1,-15.470000267028809
2025-01-10 05:55:40,-1,-15.390000343322754
2025-01-10 05:56:39,-1,-15.670000076293945
2025-01-10 05:57:40,-1,-15.489999771118164
2025-01-10 05:58:41,-1,-15.960000038146973
2025-01-10 05:59:40,-1,-15.350000381469727
2025-01-10 06:00:37,-1,-15.640000343322754
2025-01-10 06:01:40,-1,-15.59000015258789
2025-01-10 06:02:41,-1,-15.489999771118164
2025-01-10 06:03:40,-1,-15.59000015258789
2025-01-10 06:04:41,-1,-15.789999961853027
2025-01-10 06:05:41,-1,-15.529999732971191
2025-01-10 06:06:41,-1,-15.609999656677246
2025-01-10 06:07:41,-1,-15.430000305175781
2025-01-10 06:08:40,-1,-15.470000267028809
2025-01-10 06:09:41,-1,-15.520000457763672
2025-01-10 06:10:40,-1,-15.470000267028809
2025-01-10 06:11:41,-1,-15.3100004196167
2025-01-10 06:12:41,-1,-15.40999984741211
2025-01-10 06:13:40,-1,-15.369999885559082
2025-01-10 06:14:41,-1,-15.25
2025-01-10 06:15:40,-1,-15.329999923706055
2025-01-10 06:16:40,-1,-15.550000190734863
