Date_Time,Active_Power
2025-01-20 05:40:42,0,0
2025-01-20 05:41:42,0,0
2025-01-20 05:42:44,0,0
2025-01-20 05:43:43,0,0
2025-01-20 05:44:44,0,0
2025-01-20 05:45:42,0,0
2025-01-20 05:46:42,0,0
2025-01-20 05:47:44,0,0
2025-01-20 05:48:43,0,0
2025-01-20 05:49:42,0,0
2025-01-20 05:50:44,0,0
2025-01-20 05:51:43,0,0
2025-01-20 05:52:42,0,0
2025-01-20 05:53:43,0,0
2025-01-20 05:54:43,0,0
2025-01-20 05:55:43,0,0
2025-01-20 05:56:43,0,0
2025-01-20 05:57:43,0,0
2025-01-20 05:58:44,0,0
2025-01-20 05:59:42,0,0
2025-01-20 06:00:43,0,0
2025-01-20 06:01:43,0,0
2025-01-20 06:02:42,0,0
2025-01-20 06:03:44,0,0
2025-01-20 06:04:43,0,0
2025-01-20 06:05:43,0,0
2025-01-20 06:06:43,0,0
2025-01-20 06:07:43,0,0
2025-01-20 06:08:43,0,0
2025-01-20 06:09:42,0,0
2025-01-20 06:10:43,0,0
2025-01-20 06:11:43,0,0
2025-01-20 06:12:43,0,0
2025-01-20 06:13:43,0,0
2025-01-20 06:14:44,0,0
2025-01-20 06:15:43,0,0
2025-01-20 06:16:43,0,0
2025-01-20 06:17:42,0,0
2025-01-20 06:18:43,0,0
2025-01-20 06:19:43,0,0
2025-01-20 06:20:43,0,0
2025-01-20 06:21:43,0,0
2025-01-20 06:22:43,0,0
2025-01-20 06:23:43,0,0
2025-01-20 06:24:43,0,0
2025-01-20 06:25:44,0,0
2025-01-20 06:26:42,0,0
2025-01-20 06:27:43,0,0
2025-01-20 06:28:43,0,0
2025-01-20 06:29:43,0,0
2025-01-20 06:30:43,0,0
2025-01-20 06:31:43,0,0
2025-01-20 06:32:44,0,0
2025-01-20 06:33:43,0,0
2025-01-20 06:34:42,0,0
2025-01-20 06:35:44,0,0
2025-01-20 06:36:43,0,0
2025-01-20 06:37:42,0,0
2025-01-20 06:38:43,0,0
2025-01-20 06:39:43,0,0
2025-01-20 06:40:42,0,0
2025-01-20 06:41:42,0,0
2025-01-20 06:42:43,0,0
2025-01-20 06:43:44,0,0
2025-01-20 06:44:43,0,0
2025-01-20 06:45:42,0,0
2025-01-20 06:46:43,0,0
2025-01-20 06:47:44,0,0
2025-01-20 06:48:42,0,0
2025-01-20 06:49:44,0,0
2025-01-20 06:50:43,0,0
2025-01-20 06:51:43,0,0
2025-01-20 06:52:43,0,0
2025-01-20 06:53:42,0,0
2025-01-20 06:54:43,0,2.7829999923706055
2025-01-20 06:55:43,4.431000232696533,3.742000102996826
2025-01-20 06:56:43,4.748000144958496,4.015999794006348
2025-01-20 06:57:43,5.065000057220459,4.3480000495910645
2025-01-20 06:58:43,5.415999889373779,4.63700008392334
2025-01-20 06:59:43,5.793000221252441,4.921999931335449
2025-01-20 07:00:43,6.144999980926514,5.264999866485596
2025-01-20 07:01:43,6.607999801635742,5.640999794006348
2025-01-20 07:02:43,7.1519999504089355,6.0879998207092285
2025-01-20 07:03:43,7.748000144958496,6.629000186920166
2025-01-20 07:04:43,8.520000457763672,7.243000030517578
2025-01-20 07:05:43,9.527999877929688,8.098999977111816
2025-01-20 07:06:42,10.579999923706055,9.008999824523926
2025-01-20 07:07:44,11.39799976348877,9.711000442504883
2025-01-20 07:08:43,12.34000015258789,10.425999641418457
2025-01-20 07:09:42,13.78499984741211,11.225000381469727
2025-01-20 07:10:43,13.463000297546387,10.95199966430664
2025-01-20 07:11:42,12.8100004196167,10.732000350952148
2025-01-20 07:12:43,12.95199966430664,11.071000099182129
2025-01-20 07:13:43,13.545000076293945,11.590999603271484
2025-01-20 07:14:43,14.034000396728516,12.038999557495117
2025-01-20 07:15:42,14.675000190734863,12.557000160217285
2025-01-20 07:16:43,15.338000297546387,13.0649995803833
2025-01-20 07:17:44,16.033000946044922,13.644000053405762
2025-01-20 07:18:44,16.607999801635742,14.220999717712402
2025-01-20 07:19:42,17.33099937438965,14.831999778747559
2025-01-20 07:20:43,18.173999786376953,15.562000274658203
2025-01-20 07:21:44,19.121999740600586,16.3799991607666
2025-01-20 07:22:43,20.118999481201172,17.290000915527344
2025-01-20 07:23:42,21.02899932861328,18.08300018310547
2025-01-20 07:24:43,21.940000534057617,18.895000457763672
2025-01-20 07:25:43,22.781999588012695,19.66699981689453
2025-01-20 07:26:44,23.45800018310547,20.22800064086914
2025-01-20 07:27:42,24.041000366210938,20.802000045776367
2025-01-20 07:28:43,24.673999786376953,21.406999588012695
2025-01-20 07:29:43,25.500999450683594,22.020000457763672
2025-01-20 07:30:42,26.058000564575195,22.56599998474121
2025-01-20 07:31:42,26.69499969482422,23.033000946044922
2025-01-20 07:32:44,27.118999481201172,23.398000717163086
2025-01-20 07:33:43,27.461000442504883,23.700000762939453
2025-01-20 07:34:43,27.724000930786133,23.83799934387207
2025-01-20 07:35:43,27.92099952697754,23.965999603271484
2025-01-20 07:36:44,28.22599983215332,24.14900016784668
2025-01-20 07:37:42,28.316999435424805,24.176000595092773
2025-01-20 07:38:43,28.777000427246094,24.408000946044922
2025-01-20 07:39:43,30.777999877929688,25.834999084472656
2025-01-20 07:40:43,33.494998931884766,27.687000274658203
2025-01-20 07:41:43,35.095001220703125,29.014999389648438
2025-01-20 07:42:43,36.82600021362305,30.60099983215332
2025-01-20 07:43:43,40.00899887084961,32.856998443603516
2025-01-20 07:44:42,43.01599884033203,34.98400115966797
2025-01-20 07:45:43,44.17100143432617,36.10200119018555
2025-01-20 07:46:43,45.24399948120117,36.9739990234375
2025-01-20 07:47:42,46.22999954223633,37.54399871826172
2025-01-20 07:48:42,47.43299865722656,38.0620002746582
2025-01-20 07:49:44,49.64799880981445,39.513999938964844
2025-01-20 07:50:43,52.29899978637695,41.10300064086914
2025-01-20 07:51:43,53.87099838256836,42.53099822998047
2025-01-20 07:52:43,54.29600143432617,42.481998443603516
2025-01-20 07:53:43,54.729000091552734,42.499000549316406
2025-01-20 07:54:43,56.22999954223633,43.007999420166016
2025-01-20 07:55:43,60.84700012207031,45.52199935913086
2025-01-20 07:56:43,64.44300079345703,47.49300003051758
